name;streetAddress;postalCode;addressLocality;addressRegion;addressCountry;geo_latitude;geo_longitude;url
Imkerei Mattfeld;Grünstr. 6;29664;Walsrode;Niedersachsen;Deutschland;52.865043;9.588132;https://hofladen.info/hofladen/imkerei-mattfeld
Straußenfarm Ostseeblick;Ostseering 11;24257;Hohenfelde;Schleswig-Holstein;Deutschland;54.374960;10.521820;https://hofladen.info/hofladen/strau%C3%9Fenfarm-ostseeblick
Reutebachhof;Reutebachhof 1;74426;Geifertshofen;Baden-Württemberg;Deutschland;49.004420;9.884840;https://hofladen.info/hofladen/reutebachhof
Gut Dobersdorf;Gut Dobersdorf ;24232 ;Dobersdorf;Schleswig-Holstein;Deutschland;54.322820;10.289247;https://hofladen.info/hofladen/gut-dobersdorf
Gläserne Waldimkerei;Am Wolfsgarten 5;16792;Zehdenick;Brandenburg;Deutschland;52.997494;13.349892;https://hofladen.info/hofladen/glaserne-waldimkerei
Lenzbauer Naturland-Hof;Landshuter Straße 18;93354;Siegenburg;Bayern;Deutschland;48.752730;11.852270;https://hofladen.info/hofladen/lenzbauer-naturland-hof
Spargelgut Meyer;Sattelhof 8;29693;Kirchwahlingen;Niedersachsen;Deutschland;52.783760;9.414290;https://hofladen.info/hofladen/spargelgut-meyer
Lavendel Grimme;Bergstrasse 1 ;17326 ;Bruessow;Brandenburg;Deutschland;53.399320;14.126720;https://hofladen.info/hofladen/lavendel-grimme
Landgut Schönwalde;Dorfstraße 31;14621;Schönwalde-Glien;Brandenburg;Deutschland;52.621542;13.126038;https://hofladen.info/hofladen/landgut-schonwalde
Gut Adolphshof;;31275;Lehrte;Niedersachsen;Deutschland;52.374620;9.978420;https://hofladen.info/hofladen/gut-adolphshof
Naturhof Engel;Schönnbronn 4;74426;Bühlerzell-Schönbronn;Baden-Württemberg;Deutschland;48.986320;9.954682;https://hofladen.info/hofladen/naturhof-engel
Mühlenbach Hofladen;Gottschalskmühlenweg 22;56637 ;Plaidt ;Rheinland-Pfalz;Deutschland;50.382843;7.384645;https://hofladen.info/hofladen/muhlenbach-hofladen
Weingut Birkert;Unterheimbacher Str. 28;74626;Bretzfeld;Baden-Württemberg;Deutschland;49.163954;9.450162;https://hofladen.info/hofladen/weingut-birkert
Regenbogenhof;Alte Bahnhofstraße 6;17291;Nordwestuckermark;Brandenburg;Deutschland;53.396419;13.692768;https://hofladen.info/hofladen/regenbogenhof
Märkischer Hofladen;Dorfstraße 1a ;14641 ;Paulinenaue;Brandenburg;Deutschland;52.633410;12.714422;https://hofladen.info/hofladen/markischer-hofladen
Hoflädle Ochsental;Mäusberger Str. 13;74673;Mulfingen;Baden-Württemberg;Deutschland;49.347830;9.834070;https://hofladen.info/hofladen/hofladle-ochsental
Zick de Hohenlohe;Klingenstraße 23;74532;Ilshofen-Unteraspach;Baden-Württemberg;Deutschland;49.142722;9.893672;https://hofladen.info/hofladen/zick-de-hohenlohe
Weingut Heinz J. Schwab;Wassergasse 4;74626;Bretzfeld;Baden-Württemberg;Deutschland;49.169473;9.386116;https://hofladen.info/hofladen/weingut-heinz-j-schwab
Villa Kunterbunt;Zinnowitzer Str. 6 ;17440 ;Neuendorf;Mecklenburg-Vorpommern;Deutschland;54.034612;13.889078;https://hofladen.info/hofladen/villa-kunterbunt
Klangens Hof;Höperhöfen 15 ;27367 ;Bötersen;Niedersachsen;Deutschland;53.142419;9.301961;https://hofladen.info/hofladen/klangens-hof
Der Auenhof;Potsdamer Landstrasse 11;14641;Wustermark;Brandenburg;Deutschland;52.513907;12.934566;https://hofladen.info/hofladen/der-auenhof
Ökodorf Brodowin Dorfladen;Weißensee 1;16230;Chorin;Brandenburg;Deutschland;52.915410;13.941750;https://hofladen.info/hofladen/okodorf-brodowin-dorfladen
Hofladen Bißbort;Hochwaldstr. 5;66954;Pirmasens;Rheinland-Pfalz;Deutschland;49.213129;7.537476;https://hofladen.info/hofladen/hofladen-bi%C3%9Fbort
Wildhof am Weinberg;Krahner Straße 7;14797 ;Kloster Lehnin;Brandenburg;Deutschland;52.334808;12.550595;https://hofladen.info/hofladen/wildhof-am-weinberg
Weinmanufaktur Ingelfinger Fass;Schloßstr. 14;74653;Ingelfingen;Baden-Württemberg;Deutschland;49.300802;9.652167;https://hofladen.info/hofladen/weinmanufaktur-ingelfinger-fass
Wildhof Müncheberg;Florastraße 21;15374;Müncheberg;Brandenburg;Deutschland;52.505095;14.115982;https://hofladen.info/hofladen/wildhof-muncheberg
Ringlihof;Katzentalweg 1;79289;Horben;Baden-Württemberg;Deutschland;47.937610;7.844010;https://hofladen.info/hofladen/ringlihof
Osterland Teuchern;Straße nach Trebnitz 12;06682;Teuchern;Sachsen-Anhalt;Deutschland;51.110560;12.037260;https://hofladen.info/hofladen/osterland-teuchern
Bauer Ziegs;Chemnitzer Str. 78;9387;Jahnsdorf;Sachsen;Deutschland;50.744556;12.852183;https://hofladen.info/hofladen/bauer-ziegs
Hopfgartner Honig;Siedlerweg 10;9429;Hopfgarten;Sachsen;Deutschland;50.679843;13.061180;https://hofladen.info/hofladen/hopfgartner-honig
Gärtnerhof Staudenmüller; Askanische Straße 1;17268;Templin;Brandenburg;Deutschland;53.052932;13.528121;https://hofladen.info/hofladen/gartnerhof-staudenmuller
Wild & Taste;Neudessauer Straße 12;14715;Milower Land;Brandenburg;Deutschland;52.511980;12.304400;https://hofladen.info/hofladen/wild-taste
Klausenhof;Waldstetter Weg 1;73529;Schwäbisch Gmünd;Baden-Württemberg;Deutschland;48.752990;9.798730;https://hofladen.info/hofladen/klausenhof
Hausler Hof;Garchinger Weg 72;85399;Hallbergmoos;Bayern;Deutschland;48.290416;11.720592;https://hofladen.info/hofladen/hausler-hof
Martinshof;In der Brombach 6;66606;St. Wendel;Saarland;Deutschland;49.493210;7.272490;https://hofladen.info/hofladen/martinshof
Schluchters Weinstube;Ruländerweg 3;74629;Pfedelbach;Baden-Württemberg;Deutschland;49.170958;9.527179;https://hofladen.info/hofladen/schluchters-weinstube
Gurken Paule;Schlossinsel Hafen 1;15907;Lübben;Brandenburg;Deutschland;51.940169;13.899049;https://hofladen.info/hofladen/gurken-paule
Gut Herrenhölzer;Gutsstraße 1;14789;Bensdorf;Brandenburg;Deutschland;52.402042;12.336489;https://hofladen.info/hofladen/gut-herrenholzer
Rittergut Binsförth;Rittergut 1;34326;Morschen;Hessen;Deutschland;51.070980;9.572000;https://hofladen.info/hofladen/rittergut-binsforth
Hofladen mit Räucherei;Talmühle 1;9638;Lichtenberg;Sachsen;Deutschland;50.848977;13.399116;https://hofladen.info/hofladen/hofladen-mit-raucherei
Hof Barmbach;Hof Barmbach;65611;Brechen;Hessen;Deutschland;50.368687;8.189853;https://hofladen.info/hofladen/hof-barmbach
Biohof Groß-Bölting;Borkener Strasse 10;46499;Hamminkeln;Nordrhein-Westfalen;Deutschland;51.754920;6.669930;https://hofladen.info/hofladen/biohof-gro%C3%9F-bolting
Eggs-klusiv;Stöcken 5 ;96215 ;Lichtenfels;Bayern;Deutschland;50.173943;11.072859;https://hofladen.info/hofladen/eggs-klusiv
Voelckes Hofladen;Wernigeröder Str. 61 ;39118;Magdeburg;Sachsen-Anhalt;Deutschland;52.099030;11.597470;https://hofladen.info/hofladen/voelckes-hofladen
AGROSS Hofladen;Großstolpen Nr. 6;4539;Groitzsch;Sachsen;Deutschland;51.142866;12.327303;https://hofladen.info/hofladen/agross-hofladen
Hofladen Kampe;Glockenstr. 24 ;28857 ;Syke;Niedersachsen;Deutschland;52.937468;8.823623;https://hofladen.info/hofladen/hofladen-kampe
Agrargenossenschaft Querfurt ;Ahornstraße 27 ;6268;Querfurt;Sachsen-Anhalt;Deutschland;51.377396;11.614395;https://hofladen.info/hofladen/agrargenossenschaft-querfurt
Finther Obstlädchen;Kurmainzstr. 10;55126;Mainz;Rheinland-Pfalz;Deutschland;49.983526;8.176025;https://hofladen.info/hofladen/finther-obstladchen
Obstbau Menzel;Hauptstraße 55;1877;Rammenau;Sachsen;Deutschland;51.151516;14.148441;https://hofladen.info/hofladen/obstbau-menzel
Gut Hirschaue;An der Hirschaue 2;15848;Rietz-Neuendorf;Brandenburg;Deutschland;52.200218;14.192690;https://hofladen.info/hofladen/gut-hirschaue
Prokräuter;Widmannsried 1b;87480;Weitnau - Wengen;Bayern;Deutschland;47.679520;10.166500;https://hofladen.info/hofladen/prokrauter
Griesels Milchhof;Oberster Riedsweg 1;34281;Gudensberg;Hessen;Deutschland;51.166202;9.342907;https://hofladen.info/hofladen/griesels-milchhof
Obsthof Wagner;Dieglishofen 1;88069;Dieglishofen;Baden-Württemberg;Deutschland;47.685142;9.601889;https://hofladen.info/hofladen/obsthof-wagner
Brennerei Günter Hammel;Landenbacher Str. 1;97996;Niederstetten;Baden-Württemberg;Deutschland;49.421520;9.919145;https://hofladen.info/hofladen/brennerei-gunter-hammel
Agrofarm Nauen;Brandenburger Chaussee 19 ;14641 ;Nauen;Brandenburg;Deutschland;52.596578;12.838605;https://hofladen.info/hofladen/agrofarm-nauen
Straußenhof Striegistal;Mühlstraße 16;9661;Striegistal;Sachsen;Deutschland;50.996468;13.173885;https://hofladen.info/hofladen/strau%C3%9Fenhof-striegistal
Galloway vom Preußenhof;Am Dröbel 10;16909;Heiligengrabe;Brandenburg;Deutschland;53.141510;12.343040;https://hofladen.info/hofladen/galloway-vom-preu%C3%9Fenhof
Damwildgehege Waldenburg;Hauptstraße 102;74638;Waldenburg;Baden-Württemberg;Deutschland;49.185860;9.639140;https://hofladen.info/hofladen/damwildgehege-waldenburg
Knolle & Bolle;Ziemkendorfer Straße 10;17291;Grünow;Brandenburg;Deutschland;53.313000;13.984313;https://hofladen.info/hofladen/knolle-bolle
Hof Pleus;Henstedter Str. 15;27243 ;Prinzhöfte;Niedersachsen;Deutschland;52.967382;8.556820;https://hofladen.info/hofladen/hof-pleus
